date,student_name,center,city,grade,subject,marks,max_marks
2024-10-31,Priya Shah,Mumbai-03,Mumbai,7th,English,48,50
2024-10-31,Priya Shah,Mumbai-03,Mumbai,7th,Maths,43,50
2024-10-31,Priya Shah,Mumbai-03,Mumbai,7th,Language,38,50
2024-10-31,Priya Shah,Mumbai-03,Mumbai,7th,GK,40,50
2024-11-30,Priya Shah,Mumbai-03,Mumbai,7th,English,42,50
2024-11-30,Priya Shah,Mumbai-03,Mumbai,7th,Maths,49,50
2024-11-30,Priya Shah,Mumbai-03,Mumbai,7th,Language,46,50
2024-11-30,Priya Shah,Mumbai-03,Mumbai,7th,GK,35,50
2024-12-31,Priya Shah,Mumbai-03,Mumbai,7th,English,43,50
2024-12-31,Priya Shah,Mumbai-03,Mumbai,7th,Maths,35,50
2024-12-31,Priya Shah,Mumbai-03,Mumbai,7th,Language,39,50
2024-12-31,Priya Shah,Mumbai-03,Mumbai,7th,GK,37,50
2024-01-31,Amit Patel,Pune-12,Pune,5th,English,26,50
2024-01-31,Amit Patel,Pune-12,Pune,5th,Maths,33,50
2024-01-31,Amit Patel,Pune-12,Pune,5th,Language,33,50
2024-01-31,Amit Patel,Pune-12,Pune,5th,GK,31,50
2024-02-29,Amit Patel,Pune-12,Pune,5th,English,33,50
2024-02-29,Amit Patel,Pune-12,Pune,5th,Maths,28,50
2024-02-29,Amit Patel,Pune-12,Pune,5th,Language,34,50
2024-02-29,Amit Patel,Pune-12,Pune,5th,GK,33,50
2024-03-31,Amit Patel,Pune-12,Pune,5th,English,22,50
2024-03-31,Amit Patel,Pune-12,Pune,5th,Maths,28,50
2024-03-31,Amit Patel,Pune-12,Pune,5th,Language,27,50
2024-03-31,Amit Patel,Pune-12,Pune,5th,GK,34,50
2024-04-30,Amit Patel,Pune-12,Pune,5th,English,23,50
2024-04-30,Amit Patel,Pune-12,Pune,5th,Maths,43,50
2024-04-30,Amit Patel,Pune-12,Pune,5th,Language,39,50
2024-04-30,Amit Patel,Pune-12,Pune,5th,GK,26,50
2024-05-31,Amit Patel,Pune-12,Pune,5th,English,27,50
2024-05-31,Amit Patel,Pune-12,Pune,5th,Maths,35,50
2024-05-31,Amit Patel,Pune-12,Pune,5th,Language,27,50
2024-05-31,Amit Patel,Pune-12,Pune,5th,GK,26,50
2024-06-30,Amit Patel,Pune-12,Pune,5th,English,33,50
2024-06-30,Amit Patel,Pune-12,Pune,5th,Maths,28,50
2024-06-30,Amit Patel,Pune-12,Pune,5th,Language,34,50
2024-06-30,Amit Patel,Pune-12,Pune,5th,GK,26,50
2024-07-31,Amit Patel,Pune-12,Pune,5th,English,32,50
2024-07-31,Amit Patel,Pune-12,Pune,5th,Maths,31,50
2024-07-31,Amit Patel,Pune-12,Pune,5th,Language,36,50
2024-07-31,Amit Patel,Pune-12,Pune,5th,GK,24,50
2024-08-31,Amit Patel,Pune-12,Pune,5th,English,36,50
2024-08-31,Amit Patel,Pune-12,Pune,5th,Maths,33,50
2024-08-31,Amit Patel,Pune-12,Pune,5th,Language,23,50
2024-08-31,Amit Patel,Pune-12,Pune,5th,GK,30,50
2024-09-30,Amit Patel,Pune-12,Pune,5th,English,27,50
2024-09-30,Amit Patel,Pune-12,Pune,5th,Maths,28,50
2024-09-30,Amit Patel,Pune-12,Pune,5th,Language,37,50
2024-09-30,Amit Patel,Pune-12,Pune,5th,GK,39,50
2024-10-31,Amit Patel,Pune-12,Pune,5th,English,24,50
2024-10-31,Amit Patel,Pune-12,Pune,5th,Maths,35,50
2024-10-31,Amit Patel,Pune-12,Pune,5th,Language,30,50
2024-10-31,Amit Patel,Pune-12,Pune,5th,GK,38,50
2024-11-30,Amit Patel,Pune-12,Pune,5th,English,20,50
2024-11-30,Amit Patel,Pune-12,Pune,5th,Maths,23,50
2024-11-30,Amit Patel,Pune-12,Pune,5th,Language,33,50
2024-11-30,Amit Patel,Pune-12,Pune,5th,GK,31,50
2024-12-31,Amit Patel,Pune-12,Pune,5th,English,35,50
2024-12-31,Amit Patel,Pune-12,Pune,5th,Maths,31,50
2024-12-31,Amit Patel,Pune-12,Pune,5th,Language,38,50
2024-12-31,Amit Patel,Pune-12,Pune,5th,GK,28,50
2024-01-31,Neha Sharma,Delhi-05,Delhi,6th,English,35,50
2024-01-31,Neha Sharma,Delhi-05,Delhi,6th,Maths,36,50
2024-01-31,Neha Sharma,Delhi-05,Delhi,6th,Language,38,50
2024-01-31,Neha Sharma,Delhi-05,Delhi,6th,GK,44,50
2024-02-29,Neha Sharma,Delhi-05,Delhi,6th,English,28,50
2024-02-29,Neha Sharma,Delhi-05,Delhi,6th,Maths,30,50
2024-02-29,Neha Sharma,Delhi-05,Delhi,6th,Language,36,50
2024-02-29,Neha Sharma,Delhi-05,Delhi,6th,GK,40,50
2024-03-31,Neha Sharma,Delhi-05,Delhi,6th,English,39,50
2024-03-31,Neha Sharma,Delhi-05,Delhi,6th,Maths,41,50
2024-03-31,Neha Sharma,Delhi-05,Delhi,6th,Language,45,50
2024-03-31,Neha Sharma,Delhi-05,Delhi,6th,GK,40,50
2024-04-30,Neha Sharma,Delhi-05,Delhi,6th,English,37,50
2024-04-30,Neha Sharma,Delhi-05,Delhi,6th,Maths,28,50
2024-04-30,Neha Sharma,Delhi-05,Delhi,6th,Language,37,50
2024-04-30,Neha Sharma,Delhi-05,Delhi,6th,GK,35,50
2024-05-31,Neha Sharma,Delhi-05,Delhi,6th,English,34,50
2024-05-31,Neha Sharma,Delhi-05,Delhi,6th,Maths,38,50
2024-05-31,Neha Sharma,Delhi-05,Delhi,6th,Language,48,50
2024-05-31,Neha Sharma,Delhi-05,Delhi,6th,GK,49,50
2024-06-30,Neha Sharma,Delhi-05,Delhi,6th,English,36,50
2024-06-30,Neha Sharma,Delhi-05,Delhi,6th,Maths,31,50
2024-06-30,Neha Sharma,Delhi-05,Delhi,6th,Language,39,50
2024-06-30,Neha Sharma,Delhi-05,Delhi,6th,GK,36,50
2024-07-31,Neha Sharma,Delhi-05,Delhi,6th,English,34,50
2024-07-31,Neha Sharma,Delhi-05,Delhi,6th,Maths,32,50
2024-07-31,Neha Sharma,Delhi-05,Delhi,6th,Language,46,50
2024-07-31,Neha Sharma,Delhi-05,Delhi,6th,GK,42,50
2024-08-31,Neha Sharma,Delhi-05,Delhi,6th,English,36,50
2024-08-31,Neha Sharma,Delhi-05,Delhi,6th,Maths,45,50
2024-08-31,Neha Sharma,Delhi-05,Delhi,6th,Language,36,50
2024-08-31,Neha Sharma,Delhi-05,Delhi,6th,GK,32,50
2024-09-30,Neha Sharma,Delhi-05,Delhi,6th,English,33,50
2024-09-30,Neha Sharma,Delhi-05,Delhi,6th,Maths,40,50
2024-09-30,Neha Sharma,Delhi-05,Delhi,6th,Language,34,50
2024-09-30,Neha Sharma,Delhi-05,Delhi,6th,GK,40,50
2024-10-31,Neha Sharma,Delhi-05,Delhi,6th,English,42,50
2024-10-31,Neha Sharma,Delhi-05,Delhi,6th,Maths,40,50
2024-10-31,Neha Sharma,Delhi-05,Delhi,6th,Language,37,50
2024-10-31,Neha Sharma,Delhi-05,Delhi,6th,GK,45,50
2024-11-30,Neha Sharma,Delhi-05,Delhi,6th,English,42,50
2024-11-30,Neha Sharma,Delhi-05,Delhi,6th,Maths,38,50
2024-11-30,Neha Sharma,Delhi-05,Delhi,6th,Language,38,50
2024-11-30,Neha Sharma,Delhi-05,Delhi,6th,GK,39,50
2024-12-31,Neha Sharma,Delhi-05,Delhi,6th,English,43,50
2024-12-31,Neha Sharma,Delhi-05,Delhi,6th,Maths,37,50
2024-12-31,Neha Sharma,Delhi-05,Delhi,6th,Language,39,50
2024-12-31,Neha Sharma,Delhi-05,Delhi,6th,GK,37,50
2024-01-31,Rohan Verma,Bangalore-07,Bangalore,8th,English,33,50
2024-01-31,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,32,50
2024-01-31,Rohan Verma,Bangalore-07,Bangalore,8th,Language,36,50
2024-01-31,Rohan Verma,Bangalore-07,Bangalore,8th,GK,27,50
2024-02-29,Rohan Verma,Bangalore-07,Bangalore,8th,English,32,50
2024-02-29,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,22,50
2024-02-29,Rohan Verma,Bangalore-07,Bangalore,8th,Language,26,50
2024-02-29,Rohan Verma,Bangalore-07,Bangalore,8th,GK,33,50
2024-03-31,Rohan Verma,Bangalore-07,Bangalore,8th,English,37,50
2024-03-31,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,38,50
2024-03-31,Rohan Verma,Bangalore-07,Bangalore,8th,Language,32,50
2024-03-31,Rohan Verma,Bangalore-07,Bangalore,8th,GK,28,50
2024-04-30,Rohan Verma,Bangalore-07,Bangalore,8th,English,34,50
2024-04-30,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,36,50
2024-04-30,Rohan Verma,Bangalore-07,Bangalore,8th,Language,26,50
2024-04-30,Rohan Verma,Bangalore-07,Bangalore,8th,GK,33,50
2024-05-31,Rohan Verma,Bangalore-07,Bangalore,8th,English,30,50
2024-05-31,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,33,50
2024-05-31,Rohan Verma,Bangalore-07,Bangalore,8th,Language,34,50
2024-05-31,Rohan Verma,Bangalore-07,Bangalore,8th,GK,24,50
2024-06-30,Rohan Verma,Bangalore-07,Bangalore,8th,English,40,50
2024-06-30,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,36,50
2024-06-30,Rohan Verma,Bangalore-07,Bangalore,8th,Language,32,50
2024-06-30,Rohan Verma,Bangalore-07,Bangalore,8th,GK,25,50
2024-07-31,Rohan Verma,Bangalore-07,Bangalore,8th,English,37,50
2024-07-31,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,32,50
2024-07-31,Rohan Verma,Bangalore-07,Bangalore,8th,Language,38,50
2024-07-31,Rohan Verma,Bangalore-07,Bangalore,8th,GK,32,50
2024-08-31,Rohan Verma,Bangalore-07,Bangalore,8th,English,45,50
2024-08-31,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,35,50
2024-08-31,Rohan Verma,Bangalore-07,Bangalore,8th,Language,35,50
2024-08-31,Rohan Verma,Bangalore-07,Bangalore,8th,GK,34,50
2024-09-30,Rohan Verma,Bangalore-07,Bangalore,8th,English,33,50
2024-09-30,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,28,50
2024-09-30,Rohan Verma,Bangalore-07,Bangalore,8th,Language,26,50
2024-09-30,Rohan Verma,Bangalore-07,Bangalore,8th,GK,30,50
2024-10-31,Rohan Verma,Bangalore-07,Bangalore,8th,English,29,50
2024-10-31,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,31,50
2024-10-31,Rohan Verma,Bangalore-07,Bangalore,8th,Language,28,50
2024-10-31,Rohan Verma,Bangalore-07,Bangalore,8th,GK,43,50
2024-11-30,Rohan Verma,Bangalore-07,Bangalore,8th,English,44,50
2024-11-30,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,29,50
2024-11-30,Rohan Verma,Bangalore-07,Bangalore,8th,Language,30,50
2024-11-30,Rohan Verma,Bangalore-07,Bangalore,8th,GK,29,50
2024-12-31,Rohan Verma,Bangalore-07,Bangalore,8th,English,34,50
2024-12-31,Rohan Verma,Bangalore-07,Bangalore,8th,Maths,30,50
2024-12-31,Rohan Verma,Bangalore-07,Bangalore,8th,Language,33,50
2024-12-31,Rohan Verma,Bangalore-07,Bangalore,8th,GK,30,50
2024-01-31,Anita Roy,Pune-01,Pune,6th,English,34,50
2024-01-31,Anita Roy,Pune-01,Pune,6th,Maths,28,50
2024-01-31,Anita Roy,Pune-01,Pune,6th,Language,28,50
2024-01-31,Anita Roy,Pune-01,Pune,6th,GK,36,50
2024-02-29,Anita Roy,Pune-01,Pune,6th,English,40,50
2024-02-29,Anita Roy,Pune-01,Pune,6th,Maths,31,50
2024-02-29,Anita Roy,Pune-01,Pune,6th,Language,33,50
2024-02-29,Anita Roy,Pune-01,Pune,6th,GK,33,50
2024-03-31,Anita Roy,Pune-01,Pune,6th,English,30,50
2024-03-31,Anita Roy,Pune-01,Pune,6th,Maths,28,50
2024-03-31,Anita Roy,Pune-01,Pune,6th,Language,32,50
2024-03-31,Anita Roy,Pune-01,Pune,6th,GK,36,50
2024-04-30,Anita Roy,Pune-01,Pune,6th,English,36,50
2024-04-30,Anita Roy,Pune-01,Pune,6th,Maths,39,50
2024-04-30,Anita Roy,Pune-01,Pune,6th,Language,28,50
2024-04-30,Anita Roy,Pune-01,Pune,6th,GK,30,50
2024-05-31,Anita Roy,Pune-01,Pune,6th,English,32,50
2024-05-31,Anita Roy,Pune-01,Pune,6th,Maths,28,50
2024-05-31,Anita Roy,Pune-01,Pune,6th,Language,38,50
2024-05-31,Anita Roy,Pune-01,Pune,6th,GK,27,50
2024-06-30,Anita Roy,Pune-01,Pune,6th,English,30,50
2024-06-30,Anita Roy,Pune-01,Pune,6th,Maths,27,50
2024-06-30,Anita Roy,Pune-01,Pune,6th,Language,34,50
2024-06-30,Anita Roy,Pune-01,Pune,6th,GK,33,50
2024-07-31,Anita Roy,Pune-01,Pune,6th,English,47,50
2024-07-31,Anita Roy,Pune-01,Pune,6th,Maths,28,50
2024-07-31,Anita Roy,Pune-01,Pune,6th,Language,32,50
2024-07-31,Anita Roy,Pune-01,Pune,6th,GK,30,50
2024-08-31,Anita Roy,Pune-01,Pune,6th,English,17,50
2024-08-31,Anita Roy,Pune-01,Pune,6th,Maths,34,50
2024-08-31,Anita Roy,Pune-01,Pune,6th,Language,24,50
2024-08-31,Anita Roy,Pune-01,Pune,6th,GK,30,50
2024-09-30,Anita Roy,Pune-01,Pune,6th,English,27,50
2024-09-30,Anita Roy,Pune-01,Pune,6th,Maths,31,50
2024-09-30,Anita Roy,Pune-01,Pune,6th,Language,27,50
2024-09-30,Anita Roy,Pune-01,Pune,6th,GK,30,50
2024-10-31,Anita Roy,Pune-01,Pune,6th,English,33,50
2024-10-31,Anita Roy,Pune-01,Pune,6th,Maths,36,50
2024-10-31,Anita Roy,Pune-01,Pune,6th,Language,36,50
2024-10-31,Anita Roy,Pune-01,Pune,6th,GK,31,50
2024-11-30,Anita Roy,Pune-01,Pune,6th,English,29,50
2024-11-30,Anita Roy,Pune-01,Pune,6th,Maths,40,50
2024-11-30,Anita Roy,Pune-01,Pune,6th,Language,34,50
2024-11-30,Anita Roy,Pune-01,Pune,6th,GK,27,50
2024-12-31,Anita Roy,Pune-01,Pune,6th,English,28,50
2024-12-31,Anita Roy,Pune-01,Pune,6th,Maths,30,50
2024-12-31,Anita Roy,Pune-01,Pune,6th,Language,31,50
2024-12-31,Anita Roy,Pune-01,Pune,6th,GK,30,50
2024-01-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,46,50
2024-01-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,45,50
2024-01-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,42,50
2024-01-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,50,50
2024-02-29,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,45,50
2024-02-29,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,50,50
2024-02-29,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,47,50
2024-02-29,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,41,50
2024-03-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,50,50
2024-03-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,47,50
2024-03-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,44,50
2024-03-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,42,50
2024-04-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,48,50
2024-04-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,41,50
2024-04-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,32,50
2024-04-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,38,50
2024-05-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,50,50
2024-05-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,35,50
2024-05-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,40,50
2024-05-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,37,50
2024-06-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,45,50
2024-06-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,48,50
2024-06-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,42,50
2024-06-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,49,50
2024-07-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,45,50
2024-07-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,38,50
2024-07-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,39,50
2024-07-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,43,50
2024-08-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,44,50
2024-08-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,45,50
2024-08-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,45,50
2024-08-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,46,50
2024-09-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,39,50
2024-09-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,47,50
2024-09-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,50,50
2024-09-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,46,50
2024-10-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,39,50
2024-10-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,33,50
2024-10-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,50,50
2024-10-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,42,50
2024-11-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,48,50
2024-11-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,45,50
2024-11-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,47,50
2024-11-30,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,32,50
2024-12-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,English,41,50
2024-12-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Maths,39,50
2024-12-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,Language,32,50
2024-12-31,Sanjay Kumar,Mumbai-03,Mumbai,7th,GK,47,50
2024-01-31,Meera Desai,Pune-12,Pune,5th,English,45,50
2024-01-31,Meera Desai,Pune-12,Pune,5th,Maths,40,50
2024-01-31,Meera Desai,Pune-12,Pune,5th,Language,48,50
2024-01-31,Meera Desai,Pune-12,Pune,5th,GK,37,50
2024-02-29,Meera Desai,Pune-12,Pune,5th,English,42,50
2024-02-29,Meera Desai,Pune-12,Pune,5th,Maths,38,50
2024-02-29,Meera Desai,Pune-12,Pune,5th,Language,44,50
2024-02-29,Meera Desai,Pune-12,Pune,5th,GK,41,50
2024-03-31,Meera Desai,Pune-12,Pune,5th,English,33,50
2024-03-31,Meera Desai,Pune-12,Pune,5th,Maths,37,50
2024-03-31,Meera Desai,Pune-12,Pune,5th,Language,32,50
2024-03-31,Meera Desai,Pune-12,Pune,5th,GK,37,50
2024-04-30,Meera Desai,Pune-12,Pune,5th,English,39,50
2024-04-30,Meera Desai,Pune-12,Pune,5th,Maths,30,50
2024-04-30,Meera Desai,Pune-12,Pune,5th,Language,41,50
2024-04-30,Meera Desai,Pune-12,Pune,5th,GK,38,50
2024-05-31,Meera Desai,Pune-12,Pune,5th,English,35,50
2024-05-31,Meera Desai,Pune-12,Pune,5th,Maths,38,50
2024-05-31,Meera Desai,Pune-12,Pune,5th,Language,39,50
2024-05-31,Meera Desai,Pune-12,Pune,5th,GK,46,50
2024-06-30,Meera Desai,Pune-12,Pune,5th,English,41,50
2024-06-30,Meera Desai,Pune-12,Pune,5th,Maths,47,50
2024-06-30,Meera Desai,Pune-12,Pune,5th,Language,47,50
2024-06-30,Meera Desai,Pune-12,Pune,5th,GK,40,50
2024-07-31,Meera Desai,Pune-12,Pune,5th,English,49,50
2024-07-31,Meera Desai,Pune-12,Pune,5th,Maths,47,50
2024-07-31,Meera Desai,Pune-12,Pune,5th,Language,34,50
2024-07-31,Meera Desai,Pune-12,Pune,5th,GK,48,50
2024-08-31,Meera Desai,Pune-12,Pune,5th,English,43,50
2024-08-31,Meera Desai,Pune-12,Pune,5th,Maths,45,50
2024-08-31,Meera Desai,Pune-12,Pune,5th,Language,38,50
2024-08-31,Meera Desai,Pune-12,Pune,5th,GK,41,50
2024-09-30,Meera Desai,Pune-12,Pune,5th,English,44,50
2024-09-30,Meera Desai,Pune-12,Pune,5th,Maths,38,50
2024-09-30,Meera Desai,Pune-12,Pune,5th,Language,46,50
2024-09-30,Meera Desai,Pune-12,Pune,5th,GK,33,50
2024-10-31,Meera Desai,Pune-12,Pune,5th,English,31,50
2024-10-31,Meera Desai,Pune-12,Pune,5th,Maths,46,50
2024-10-31,Meera Desai,Pune-12,Pune,5th,Language,39,50
2024-10-31,Meera Desai,Pune-12,Pune,5th,GK,42,50
2024-11-30,Meera Desai,Pune-12,Pune,5th,English,41,50
2024-11-30,Meera Desai,Pune-12,Pune,5th,Maths,38,50
2024-11-30,Meera Desai,Pune-12,Pune,5th,Language,42,50
2024-11-30,Meera Desai,Pune-12,Pune,5th,GK,39,50
