date,student_name,center,city,grade,present
2024-05-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-05-31,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-06,Rahul Kumar,Pune-01,Pune,6th,0
2024-06-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-20,Rahul Kumar,Pune-01,Pune,6th,0
2024-06-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-22,Rahul Kumar,Pune-01,Pune,6th,0
2024-06-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-06-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-11,Rahul Kumar,Pune-01,Pune,6th,0
2024-07-12,Rahul Kumar,Pune-01,Pune,6th,0
2024-07-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-16,Rahul Kumar,Pune-01,Pune,6th,0
2024-07-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-07-31,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-07,Rahul Kumar,Pune-01,Pune,6th,0
2024-08-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-14,Rahul Kumar,Pune-01,Pune,6th,0
2024-08-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-28,Rahul Kumar,Pune-01,Pune,6th,0
2024-08-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-08-31,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-09-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-04,Rahul Kumar,Pune-01,Pune,6th,0
2024-10-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-07,Rahul Kumar,Pune-01,Pune,6th,0
2024-10-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-10,Rahul Kumar,Pune-01,Pune,6th,0
2024-10-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-10-30,Rahul Kumar,Pune-01,Pune,6th,0
2024-10-31,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-01,Rahul Kumar,Pune-01,Pune,6th,0
2024-11-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-14,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-16,Rahul Kumar,Pune-01,Pune,6th,0
2024-11-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-20,Rahul Kumar,Pune-01,Pune,6th,0
2024-11-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-22,Rahul Kumar,Pune-01,Pune,6th,0
2024-11-23,Rahul Kumar,Pune-01,Pune,6th,0
2024-11-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-25,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-11-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-01,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-02,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-03,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-04,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-05,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-06,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-07,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-08,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-09,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-10,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-11,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-12,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-13,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-14,Rahul Kumar,Pune-01,Pune,6th,0
2024-12-15,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-16,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-17,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-18,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-19,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-20,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-21,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-22,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-23,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-24,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-25,Rahul Kumar,Pune-01,Pune,6th,0
2024-12-26,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-27,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-28,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-29,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-30,Rahul Kumar,Pune-01,Pune,6th,1
2024-12-31,Rahul Kumar,Pune-01,Pune,6th,1
2024-01-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-02,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-01-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-17,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-01-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-25,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-26,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-01-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-30,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-01-31,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-04,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-02-05,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-07,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-10,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-12,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-02-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-14,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-19,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-20,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-21,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-22,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-23,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-24,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-25,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-02-26,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-27,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-28,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-02-29,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-01,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-02,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-03,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-04,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-05,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-03-06,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-07,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-03-08,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-09,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-10,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-03-11,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-12,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-13,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-14,Priya Shah,Mumbai-03,Mumbai,7th,0
2024-03-15,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-16,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-17,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-18,Priya Shah,Mumbai-03,Mumbai,7th,1
2024-03-19,Priya Shah,Mumbai-03,Mumbai,7th,1
